block,parcel,neighborhood,priority,method,support
10425,263,קריית שמואל,1,parcel_area,1
10425,271,קריית שמואל,1,parcel_area,1
10425,,קריית שמואל,2,block_area_majority,1
10427,11,קריית שמואל,1,parcel_area,1
10427,13,קריית שמואל,1,parcel_area,1
10427,14,קריית שמואל,1,parcel_area,1
10427,16,קריית שמואל,1,parcel_area,1
10427,18,קריית שמואל,1,parcel_area,1
10427,19,קריית שמואל,1,parcel_area,1
10427,20,קריית שמואל,1,parcel_area,1
10427,21,קריית שמואל,1,parcel_area,1
10427,22,קריית שמואל,1,parcel_area,1
10427,23,קריית שמואל,1,parcel_area,1
10427,24,קריית שמואל,1,parcel_area,1
10427,25,קריית שמואל,1,parcel_area,1
10427,26,קריית שמואל,1,parcel_area,1
10427,27,קריית שמואל,1,parcel_area,1
10427,29,קריית שמואל,1,parcel_area,1
10427,30,קריית שמואל,1,parcel_area,1
10427,31,קריית שמואל,1,parcel_area,1
10427,32,קריית שמואל,1,parcel_area,1
10427,33,קריית שמואל,1,parcel_area,1
10427,34,קריית שמואל,1,parcel_area,1
10427,35,קריית שמואל,1,parcel_area,1
10427,36,קריית שמואל,1,parcel_area,1
10427,38,קריית שמואל,1,parcel_area,1
10427,39,קריית שמואל,1,parcel_area,1
10427,40,קריית שמואל,1,parcel_area,1
10427,41,קריית שמואל,1,parcel_area,1
10427,42,קריית שמואל,1,parcel_area,1
10427,44,קריית שמואל,1,parcel_area,1
10427,45,קריית שמואל,1,parcel_area,1
10427,46,קריית שמואל,1,parcel_area,1
10427,47,קריית שמואל,1,parcel_area,1
10427,48,קריית שמואל,1,parcel_area,1
10427,49,קריית שמואל,1,parcel_area,1
10427,50,קריית שמואל,1,parcel_area,1
10427,51,קריית שמואל,1,parcel_area,1
10427,53,קריית שמואל,1,parcel_area,1
10427,54,קריית שמואל,1,parcel_area,1
10427,55,קריית שמואל,1,parcel_area,1
10427,56,קריית שמואל,1,parcel_area,1
10427,57,קריית שמואל,1,parcel_area,1
10427,58,קריית שמואל,1,parcel_area,1
10427,59,קריית שמואל,1,parcel_area,1
10427,60,קריית שמואל,1,parcel_area,1
10427,61,קריית שמואל,1,parcel_area,1
10427,62,קריית שמואל,1,parcel_area,1
10427,63,קריית שמואל,1,parcel_area,1
10427,64,קריית שמואל,1,parcel_area,1
10427,75,קריית שמואל,1,parcel_area,1
10427,97,קריית שמואל,1,parcel_area,1
10427,,קריית שמואל,2,block_area_majority,1
10428,278,קריית שמואל,1,parcel_area,1
10428,444,קריית שמואל,1,parcel_area,1
10428,445,קריית שמואל,1,parcel_area,1
10428,454,קריית שמואל,1,parcel_area,1
10428,,קריית שמואל,2,block_area_majority,1
10444,1066,קריית שמואל,1,parcel_area,0.99
10444,1201,קריית שמואל,1,parcel_area,1
10444,1205,קריית שמואל,1,parcel_area,1
10444,1206,קריית שמואל,1,parcel_area,1
10444,1207,קריית שמואל,1,parcel_area,1
10444,1209,קריית שמואל,1,parcel_area,1
10444,1210,קריית שמואל,1,parcel_area,1
10444,1211,קריית שמואל,1,parcel_area,1
10444,1212,קריית שמואל,1,parcel_area,1
10444,1213,קריית שמואל,1,parcel_area,1
10444,1214,קריית שמואל,1,parcel_area,1
10444,1215,קריית שמואל,1,parcel_area,1
10444,1216,קריית שמואל,1,parcel_area,1
10444,1218,קריית שמואל,1,parcel_area,1
10444,1219,קריית שמואל,1,parcel_area,1
10444,1220,קריית שמואל,1,parcel_area,1
10444,1221,קריית שמואל,1,parcel_area,1
10444,1222,קריית שמואל,1,parcel_area,1
10444,1223,קריית שמואל,1,parcel_area,1
10444,1224,קריית שמואל,1,parcel_area,1
10444,1225,קריית שמואל,1,parcel_area,1
10444,1226,קריית שמואל,1,parcel_area,1
10444,1227,קריית שמואל,1,parcel_area,1
10444,1228,קריית שמואל,1,parcel_area,1
10444,1229,קריית שמואל,1,parcel_area,1
10444,1230,קריית שמואל,1,parcel_area,1
10444,1231,קריית שמואל,1,parcel_area,1
10444,1232,קריית שמואל,1,parcel_area,1
10444,1233,קריית שמואל,1,parcel_area,1
10444,1234,קריית שמואל,1,parcel_area,1
10444,1235,קריית שמואל,1,parcel_area,1
10444,1236,קריית שמואל,1,parcel_area,1
10444,1237,קריית שמואל,1,parcel_area,1
10444,2031,קריית שמואל,1,parcel_area,1
10444,2034,קריית שמואל,1,parcel_area,1
10444,2035,קריית שמואל,1,parcel_area,1
10444,2036,קריית שמואל,1,parcel_area,1
10444,2037,קריית שמואל,1,parcel_area,1
10444,2038,קריית שמואל,1,parcel_area,1
10444,2039,קריית שמואל,1,parcel_area,1
10444,2040,קריית שמואל,1,parcel_area,1
10444,2041,קריית שמואל,1,parcel_area,1
10444,2042,קריית שמואל,1,parcel_area,1
10444,2043,קריית שמואל,1,parcel_area,1
10444,2044,קריית שמואל,1,parcel_area,1
10444,2045,קריית שמואל,1,parcel_area,1
10444,2046,קריית שמואל,1,parcel_area,1
10444,2047,קריית שמואל,1,parcel_area,1
10444,2048,קריית שמואל,1,parcel_area,1
10444,2049,קריית שמואל,1,parcel_area,1
10444,2050,קריית שמואל,1,parcel_area,1
10444,2051,קריית שמואל,1,parcel_area,1
10444,2052,קריית שמואל,1,parcel_area,1
10444,220,קריית שמואל,1,parcel_area,1
10444,221,קריית שמואל,1,parcel_area,1
10444,222,קריית שמואל,1,parcel_area,1
10444,223,קריית שמואל,1,parcel_area,1
10444,224,קריית שמואל,1,parcel_area,1
10444,225,קריית שמואל,1,parcel_area,1
10444,226,קריית שמואל,1,parcel_area,1
10444,227,קריית שמואל,1,parcel_area,1
10444,228,קריית שמואל,1,parcel_area,1
10444,229,קריית שמואל,1,parcel_area,1
10444,230,קריית שמואל,1,parcel_area,1
10444,231,קריית שמואל,1,parcel_area,1
10444,232,קריית שמואל,1,parcel_area,1
10444,233,קריית שמואל,1,parcel_area,1
10444,234,קריית שמואל,1,parcel_area,1
10444,235,קריית שמואל,1,parcel_area,1
10444,236,קריית שמואל,1,parcel_area,1
10444,237,קריית שמואל,1,parcel_area,1
10444,238,קריית שמואל,1,parcel_area,1
10444,239,קריית שמואל,1,parcel_area,1
10444,240,קריית שמואל,1,parcel_area,1
10444,241,קריית שמואל,1,parcel_area,1
10444,2414,קריית שמואל,1,parcel_area,1
10444,242,קריית שמואל,1,parcel_area,1
10444,2428,קריית שמואל,1,parcel_area,1
10444,2429,קריית שמואל,1,parcel_area,1
10444,2430,קריית שמואל,1,parcel_area,1
10444,2431,קריית שמואל,1,parcel_area,1
10444,2432,קריית שמואל,1,parcel_area,1
10444,2433,קריית שמואל,1,parcel_area,1
10444,2434,קריית שמואל,1,parcel_area,1
10444,2435,קריית שמואל,1,parcel_area,1
10444,2436,קריית שמואל,1,parcel_area,1
10444,2437,קריית שמואל,1,parcel_area,1
10444,2438,קריית שמואל,1,parcel_area,1
10444,2439,קריית שמואל,1,parcel_area,1
10444,2440,קריית שמואל,1,parcel_area,1
10444,2441,קריית שמואל,1,parcel_area,1
10444,2442,קריית שמואל,1,parcel_area,1
10444,2443,קריית שמואל,1,parcel_area,1
10444,2444,קריית שמואל,1,parcel_area,1
