OID,STREET_COD,STREET_NAM,NEIGH
1,326,580,צומת הקריות חוף שמן
2,221,665,אזור תעשייה
3,299,666,אזור תעשייה
4,1502,"(החיד""א) ר' חיים יוסף",קריית שמואל
467,426,א ל זיסו,אל עתיקה
5,385,א סלט,ואדי ניסנאס
6,602,אבא חושי,ציר רכס כרמל - אוניברסיטה
7,543,אבדימי,בת גלים
8,655,אביגיל,כרמל
9,134,אביר מרק,קריית חיים מערבית
10,805,אבן אל מוקפע,הדר
11,306,אבן גבירול,עיר תחתית מזרח
12,863,אבן סינא,הדר
13,849,אבן עזרא,הדר
14,522,אבנר,קריית אליעזר
15,111,אברבנאל,קריית חיים מערבית
16,1246,אברהם גינזבורג,0
17,682,אבשלום,כרמליה
18,1219,אגוז,רמת אלמוגי
19,709,אגמון,כרמל מערבי
20,1045,"אד""ם הכהן",זיו
21,271,אדיסון,מפרץ חיפה
22,778,אדמונד פלג,רמת שאול
23,967,אהבת ישראל,רמת ויז'ניץ
24,911,אהבת ציון,הדר
25,777,אהבת שלום,רמת ויז'ניץ
26,629,אהוד,אחוזה
27,1186,אהרון (רוזנפלד),בת גלים
28,220,אהרונוביץ יוסף,קריית חיים מזרחית
29,485,אהרונסון,רמת גולדה
30,617,אהרן,אחוזה
31,756,אודם,מפרץ חיפה
32,429,אוחנה ניסים הרב,ואדי סאליב
33,656,אוליפנט,כרמל מרכזי
34,198,אופיר,א.ת. חוף שמן
35,761,אופקים,אחוזה
36,1505,אור החיים,קריית שמואל
37,1066,אורבך אליהו,סביוני הכרמל
38,1247,אורי וינברג,נאות פרס ב'
39,1388,אורלנד יעקב,סביוני הכרמל
40,763,אורן,רמת בן גוריון
41,903,אושה,הדר
42,1049,"אז""ר",נוה שאנן
44,215,"אח""י אילת",קריית חיים מזרחית
45,846,אחד העם,הדר
46,502,אחוה,קריית אליהו
47,504,אחז,קריית אליהו
48,407,אטוגראי,ואדי ניסנאס
49,604,אידר,רמת בגין
50,971,איטליה,הוד הכרמל
51,624,אילון,אחוזה
52,653,אילות,כרמל מרכזי
53,698,אילנות,כרמל מערבי
54,1023,אילת,נוה שאנן
55,883,אימבר נפתלי,הדר
56,1041,אינטרנשיונל,רמות רמז
57,608,אינשטיין אלברט,אחוזה
58,342,אירביד,ואדי סאליב
59,719,איריס,כרמל
60,412,אירן,המושבה הגרמנית
62,693,איתנים,כרמל
63,501,אל אדריסי,קריית אליהו
64,408,אל אספהני,ואדי ניסנאס
65,340,אל בוכתורי,"קריית הממשלה ע""ש רבין"
66,804,אל גזאלי,הדר
67,322,אל הילאל,ואדי סאליב
68,1009,אל זמכשרי,חליסה
69,397,אל חרירי,ואדי ניסנאס
70,1003,אל כנסא,חליסה
71,696,אל מוהדי,כבאביר
72,803,אל מותנבי,הדר
73,434,אל עריש,ואדי ניסנאס
74,390,אל עתיקה,חיפה אל עתיקה
75,405,אל פראבי,ואדי ניסנאס
76,1169,אלבז נתן,עיר תחתית מזרח
77,118,אלונים,קריית חיים מערבית
78,658,אלחנן יצחק,כרמל מרכזי
79,187,אלי כהן,קריית חיים מזרחית
80,1390,אליאב אריה (לובה),נוה שאנן
81,959,אליהו הנביא,עיר תחתית
82,639,אליוט גורג,כרמל מרכזי
83,549,אלישע,בת גלים
84,679,אלכסנדר ינאי,כרמליה
85,574,אלמוג,רמת הנשיא
86,512,אלנבי,ציר עיר תחתית - ק. אליעזר
88,921,אלפסי,הדר
89,333,אלקלעי הרב,ואדי סאליב
90,1397,אלתר אליעזר,רמת אלון
91,800,אלתרמן נתן,רמת בגין
92,869,אמיר,הדר
93,1222,אמנון ותמר,רמת אלמוגי - רמות רמז
94,785,אמציה המלך,נוה דוד
95,480,"אנגל יונה ד""ר",רמת גולדה
96,995,אנדה עמיר,רמת גולדה
97,132,אנה פרנק,קריית חיים מערבית
98,784,אנטוורפן,הוד הכרמל
100,302,אני מאמין,עיר תחתית מזרח
99,320,אני מאמין,0
101,414,אנילביץ מרדכי,המושבה הגרמנית
102,497,אנצ'ו סירני,רמת אשכול
103,988,אנקואה רפאל הרב,שער העליה
104,579,אסא המלך,נוה דוד
105,454,אסף דוד הרב,רמת בגין
106,1503,אספיס אברהם,קריית שמואל
107,600,אסתר המלכה,נוה דוד
886,1197,אפרים קציר,"מרכז הקונגרסים, נאות פרס"
108,592,"אצ""ל",נוה דוד
109,648,ארגמן,כרמל מרכזי
110,1179,ארזי יהודה,עיר תחתית
242,1242,אריאל שרון,מעונות גאולה
111,823,ארלוזורוב,הדר
112,1235,ארליך דוד פרופ',בת גלים
113,438,ארמן נחום,מפרץ חיפה
114,116,ארן זלמן,קריית חיים מערבית
115,948,ארנון,"יל""ג"
116,705,אשכולות,כרמל מערבי
117,401,אשקלון,ואדי ניסנאס
118,1024,אשר,נוה שאנן
119,295,בהרב יקותיאל,מפרץ חיפה
120,1167,בובר מרטין,רמת בן גוריון
121,787,"בודנהיימר מכס ד""ר",קריית שפרינצק
122,300,בונה אליעזר,מפרץ חיפה
